Company Name,Industry,Sub-Industry / Activity,Confidence,Source,Rows in source list
FORTUNE ENGINEERING & ENERGY SERVICES L.L.C.,Oil & Gas Services,Engineering & energy services,High,Name-derived,2
FORTUNE ENGINEERING & ENERGY SERVICES SAUDI LTD.,Oil & Gas Services,Engineering & energy services,High,Name-derived,1
FORTUNE FIVE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
FOTOFUN COLOR LAB,Retail,Photo lab & printing services,High,Name-derived,2
FOURTECH ENGINEERING L.L.C,Engineering Services,Engineering services,Medium,Name-derived,7
FOURTECH INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,6
FOX ELECTRONICS FZ LLC,Consumer Electronics,Electronics distribution,High,Name-derived,3
FRENCH INTERNATIONAL PRIVATE SCHOOL SHJ L.L.C. SP,Education,K-12 international school,High,Name-derived,2
FRESH SUPPLIES LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
FRESH WORLD FRUITS TRADING,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
FRESHER FLOWERS L.L.C-FZ,Florist & Gifts,Flowers wholesale,High,Name-derived,1
FRESHIA FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
FRUITIFY GENERAL TRADING CO. LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
FRUITS GARDEN TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
FRUITS GARDEN TRADING WLL,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
FUJAIRAH PLASTIC FACTORY,Manufacturing - Plastics,Plastic products,High,Name-derived,2
FUSION CAFE LLC,Food Service,Cafe,High,Name-derived,7
FUTURE BOATS INDUSTRY L.L.C,Manufacturing - Marine,Boat building,High,Name-derived,1
GAAG GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
GALADARI MOTOR DRIVING CENTER LLC,Education,Driving school,High,Name-derived,4
GALAXY CONTRACTING L. L. C.,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
GALAXY TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,7
GALLERY FOODS & BEVERAGES LLC,Food & Beverage Trading,Food & beverage supply,Medium,Name-derived,1
GALVANIZING SERVICES  L.L.C,Metal Treatment Services,Hot-dip galvanizing,High,Name-derived,1
GEAR UP EVENTS LLC,Events & Exhibitions,Event management,High,Name-derived,1
GEEBEE GARMENTS FZE,Manufacturing - Textiles,Garment manufacturing,High,Name-derived,2
GEEPEE INDUSTRIES LTD,Manufacturing - Plastics,Plastic products manufacturing,Medium,Name-derived,1
GENERAL CERAMICS CO. SHARJAH JSC,Manufacturing - Building Products,Ceramic sanitaryware & tiles,High,Name-derived,6
GENERAL CONSTRUCTION COMPANY W.L.L.,Construction & Contracting,General contracting,High,Name-derived,5
GENERATIONS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
GEOBIT INTERNATIONAL FZC,Industrial Distribution,Survey / geotechnical equipment,Medium,Name-derived,4
GEOSAN CONSTRUCTION DYNAMICS,Construction & Contracting,Contracting,High,Name-derived,2
GHANTOOT LANDSCAPING LLC,Landscaping,Landscape contracting,High,Name-derived,5
GHANTOOT PLASTIC INDUSTRIES,Manufacturing - Plastics,Plastic products,High,Name-derived,2
GHAZALCO TRADING EST,Trading & Distribution,General trading,Low,Name-derived,1
GHM INTERNATIONAL,Unclassified,Insufficient information in name,Low,Name-derived,1
GHOLAMI & ABEDI FRUITS & VEGITABLES CO. L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,3
GHULAMI GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
GIESECKE+DEVRIENT CURRENCY TECHNOLOGY FZE,Technology,Currency handling & banknote systems,High,Name-derived,2
GIIMOK TRADING FZ-LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
GINCO CONTRACTING CO LLC,Construction & Contracting,Main contractor (GINCO group),High,Name-derived,8
GLAZE SERVICES LLC,Manufacturing - Building Products,Glass & glazing services,High,Name-derived,2
GLOBAL HOSPITALITY LTD,Hospitality,Hospitality management,High,Name-derived,3
GLOBAL INCENTIVES TOURISM,Travel & Tourism,DMC / incentive travel,High,Name-derived,1
GLOBAL INVESTMENTS NV,Investment & Holding,Investment holding company,Medium,Name-derived,3
GLOBE CHEMICALS COMPANY LLC,Chemicals Distribution,Industrial chemicals trading,High,Name-derived,2
GLOBIRO GROWN FOODSTUFF TRADING - FZE,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
GLOMACS FZ LLC,Training & Consultancy,Corporate training provider,High,Name-derived,2
GMMOS GROUP INC.,Marine Services,Ship repair & marine engineering,High,Name-derived,1
GOBIND INTERNATIONAL FZCO,Trading & Distribution,General trading,Low,Name-derived,3
GODOBA PORTAL LLC,E-commerce,Online marketplace / portal,Medium,Name-derived,4
GOLD FRUIT INTERNATIONAL L.L.C.,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
GOLDEN ARENA UNITED LLC,Manufacturing - Building Products,Aluminium & glass fabrication and accessories (Oman),High,Web-verified,1
GOLDEN BOX GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
GOLDEN DOVE GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
GOLDEN FRUITS L.L.C.,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
GOLDEN RELIEF RESOURCES L.L.C,Construction & Contracting,"Construction, equipment leasing & procurement services",High,Web-verified,5
GOURMET HOUSE,Food Service,Gourmet food / catering,Medium,Name-derived,2
GRAND CITY LIMOUSINE SERVICES,Passenger Transport,Limousine services,High,Name-derived,1
GRANTEQ GENERAL TRADING LLC,AV & Systems Integration,AV distribution & integration,High,Name-derived,3
GREAT PACIFIC LLC,Steel & Metals Trading,"Steel, raw materials, minerals & petrochemicals trading",High,Web-verified,3
GREEN BELT FOODSTUFF L.L.C,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,6
GREEN BELT STAR INTERNATIONAL COLD STORE,Food & Beverage Trading,Cold store & foodstuff distribution,High,Name-derived,1
GREEN COOLING L.L.C. SP,HVAC Services,Cooling & HVAC services,High,Name-derived,4
GREEN HEALTH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,3
GREEN METRO GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
GREEN VALLEY TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
GREENTECH THERMAL INSULATION PRODUCTS MANUFACTURING LLC,Manufacturing - Building Products,Thermal insulation products,High,Name-derived,1
GTGC TECHNICAL SERVICES LLC,Technical Services,Technical & maintenance services,Medium,Name-derived,1
GUANGZHOU AFRA INDUSTRIES CO. LTD.,Manufacturing,Manufacturing & export (China),Low,Name-derived,4
GULF ASIA CONTRACTING CO. L.L.C (SOLE PROPRIETORSHIP),Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
GULF ASIA CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
GULF ASIAN GENERAL TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
GULF FRUITS TRADE COMPANY LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,6
GULF PASTRY LLC,Manufacturing - Food,Bakery & pastry production,High,Name-derived,5
GULFAR FOODSTUFF COMPANY LLC.,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,2
GUSTO VERO FOODSTUFF FZ-LLC,Food & Beverage Trading,Specialty food distribution,High,Name-derived,2
HADIR PROJECTS & ENVIRONMENT SYSTEMS L.L.C.,Environmental Services,Environmental / water treatment projects,High,Name-derived,8
HAIDARI TRADING CO. WLL,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
HAIFA CONTRACTING CO. L.L.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
HAIMA EMIRATES BUILDING MAINTENANCE LLC,Facilities Management,Building maintenance,High,Name-derived,1
HAJ ALI MOHEBBI GENERAL TRADING L. L. C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
HAMNA GENERAL TRADING FZE,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
HANDLOOM HOUSE HEAD OFFICE LLC,Retail,Textile & handloom retail,High,Name-derived,1
HANOX FASHION RETAIL LLC,Retail,Fashion retail,High,Name-derived,7
HAROON ENG.MAT.MARKETING CO.LLC,Industrial Distribution,Engineering materials marketing,High,Name-derived,4
HARROW SECURITY VEHICLES LLC,Manufacturing - Automotive,Armoured & security vehicles,High,Name-derived,1
HARROW VEHICLES MODIFICATIONS CO. LTD,Manufacturing - Automotive,Vehicle modification & armouring,High,Name-derived,1
HARSHAD TRADING COMPANY L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
HARUN ABDUL LATIF FOODSTUFF COMPANY L.L.C.,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,5
HARVEST HUB GENERAL TRADING LLC SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
HASHIM HYPERMARKET LLC,Retail,Hypermarket,High,Name-derived,4
HASSAN AL QURASHI TRADING COMPANY,Trading & Distribution,General trading,Low,Name-derived,1
HATCH CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,2
HATCO,Unclassified,Insufficient information in name,Low,Name-derived,1
HEALTHCARE SCIENTIFIC SUPPLIES SPC.,Medical Supplies,Scientific & medical supplies,High,Name-derived,1
HEXABLU TECHNICAL SERVICES L.L.C,Technical Services,Technical & maintenance services,Medium,Name-derived,2
HEXATECH INTERNATIONAL HQ,Technology,Technology solutions,Low,Name-derived,2
HIAP SENG ENGINEERING LTD FZE,Oil & Gas Services,Plant maintenance & fabrication,High,Name-derived,8
HIGH STAR CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
HIMEL INTERNATIONAL FZE (DELIXI),Manufacturing - Electrical,Low-voltage electrical products,High,Name-derived,3
HMK AUTO SPARE PARTS & COMPONENTS TRADING CO. LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
HMK REAL ESTATE DEVELOPMENT LLC,Real Estate,Property development,High,Name-derived,1
HOLA DELIGHTS JUICES LLC,Manufacturing - Food & Beverage,Juices & beverages,High,Name-derived,2
HUEGO LTD.,Unclassified,Insufficient information in name,Low,Name-derived,2
HUSSAIN GENERAL TRADING EST.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,6
HUSSEIN BEHESHTI TRADING,Trading & Distribution,General trading,Low,Name-derived,1
HUTCHINSON TELECOM FZCO,Telecommunications,Telecom equipment & services,Medium,Name-derived,3
HYDROFIT ENGINEERING,Engineering Services,Hydraulics engineering,Medium,Name-derived,1
HYDROFIT TRADING,Industrial Distribution,Hydraulic products trading,High,Name-derived,1
HYDROFIT TRADING LLC,Industrial Distribution,Hydraulic products trading,High,Name-derived,4
HYDROFIT TRADING LLC BR 1,Industrial Distribution,Hydraulic products trading,High,Name-derived,1
HYDROTECH LINE CONTRACTING AND WATER DISTRIBUTION LLC,Water Treatment,Water distribution contracting,High,Name-derived,4
HYSSNA CARPENTRY,Fit-Out & Joinery,Joinery & carpentry,High,Name-derived,1
HYSSNA INTERNATIONAL INTERIORS DESIGN LLC,Fit-Out & Joinery,Interior design & fit-out,High,Name-derived,1
HYSSNA INTERNATIONAL LLC,Fit-Out & Joinery,Interiors & joinery,High,Name-derived,1
IBSONS TRADING CO. L.L.C,Fresh Produce & Grocery,Fresh produce trading (Kibsons group),Medium,Name-derived,3
ICEM,Unclassified,Insufficient information in name,Low,Name-derived,1
ICL FINCORP INVESTMENT LLC,Financial Services,Gold loans & NBFC services,High,Name-derived,3
IDEAL DRIVING INSTITUTE,Education,Driving school,High,Name-derived,3
IGC MIDDLE EAST GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ILG EMEA DWC LLC,Trading & Distribution,"Watches, jewellery, leather goods & optical products trading",Medium,Web-verified,2
IMG BOATS L. L. C.,Manufacturing - Marine,Boat building,High,Name-derived,5
IMG THEME PARK LLC,Entertainment & Leisure,Indoor theme park,High,Name-derived,3
IMPERIAL GARMENTS INDUSTRY (FZE),Manufacturing - Textiles,Garment manufacturing,High,Name-derived,2
IMPEX MIDDLE EAST FZCO,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
INNOTECH POLYMERS MANUFACTURER LLC,Manufacturing - Plastics,Polymer products,High,Name-derived,1
INTEGRATED GREEN RESOURCES L.L.C.,Recycling & Waste,Waste management & recycling,High,Name-derived,8
INTELLIGENT GLOBE CONSTRUCTION - L.L.C - S.P.C,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
INTELLIGENT GLOBE CONSTURCTION & GENERAL TRANSPORTATION,Freight Transport,Road transport & haulage,Medium,Name-derived,3
INTER CITY TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,1
INTER OCEAN SHIP ENGINEERING SERVICES FZE,Marine Services,Marine engineering,High,Name-derived,2
INTER OCEAN SHIP REPAIRS LLC,Marine Services,Ship repair,High,Name-derived,5
INTERIORS INTERNATIONAL FZCO,Fit-Out & Joinery,Joinery & interior manufacturing,High,Name-derived,2
INTERIORS INTERNATIONAL INDUSTRIES L.L.C,Fit-Out & Joinery,Joinery & interior manufacturing,High,Name-derived,6
INTERIORS INTERNATIONAL INDUSTRIES LLC,Fit-Out & Joinery,"Interiors, fit-out & joinery",Medium,Name-derived,2
INTERNATIONAL KNOWLEDGE CENTER,Education,Training centre,Medium,Name-derived,1
INTERNATIONAL RADIOLOGY & DIAGNOSTIC SERVICES CENTRE LLC - Rak Branch,Healthcare,Diagnostic imaging centre,High,Name-derived,3
INTERNATIONAL SHIP REPAIRS FZE,Marine Services,Ship repair,High,Name-derived,2
INVENT SUSTAINABLE CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
INVENTION STEEL INDUSTRIES LLC,Manufacturing - Steel Fabrication,Steel fabrication,High,Name-derived,2
IRVINE CHARTER L.L.C,Passenger Transport,Charter transport services,Medium,Name-derived,4
ISOFOAM ENGINEERING L. L. C,Construction Services,Insulation systems,High,Name-derived,1
ITALFOOD FZ LLC,Food & Beverage Trading,Italian food distribution,High,Name-derived,2
ITALIAN FOOTWEAR SOLUTION LLC,Textiles & Apparel Trading,Footwear supply,High,Name-derived,4
ITR MIDDLE EAST FZCO.,Industrial Equipment,Undercarriage parts for earthmoving,High,Name-derived,1
IWATCH SECURITY SYSTEMS LLC,Security Systems,CCTV & security systems,High,Name-derived,1
J J EXPORTERS - JUSTINE PAIGE (BVI) LTD.,Trading & Distribution,Export trading,Low,Name-derived,1
JABER MEASAM FOODSTUFF LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
JACKSON TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
JACOBS ZAMEL AND TURBAG CONSULTING ENGINEERS,Engineering Consultancy,Design & supervision consultancy,High,Name-derived,1
JADE BLUE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
JAM NOOR GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
JARRAH FOODSTUFF TRADING,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
JASEM KHAMAS TRADING CO. L. L. C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
JATCO FREIGHT SERVICES LLC,Logistics & Supply Chain,Freight forwarding,High,Name-derived,2
JAWAR AL KHALEEJ SHIPPING LLC,Shipping,Shipping services,High,Name-derived,2
JAYSONS MULTI TRADE AND INDUSTRIES SUARL,Trading & Distribution,Trading & light manufacturing,Low,Name-derived,1
JEBAL AL ATLAS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
JET AVIATION AIRSERVICES LIMITED,Aviation,Business aviation services & FBO,High,Name-derived,1
JIADI INTERNATIONAL READYMADE GARMENTS,Textiles & Apparel Trading,Readymade garments trading,High,Name-derived,2
JIMMY LE BOND TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
JMM MEAT PROCESSING LLC,Manufacturing - Food,Meat processing,High,Name-derived,4
JNBJ GENERAL TRADING CO L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
JOHN DIESEL,Automotive Parts Trading,Diesel engine parts & service,High,Name-derived,1
JPM ASSOCIATES TECHNICAL SERVICES LLC,Technical Services,Technical & maintenance services,Medium,Name-derived,2
JUBAILI BROS LLC,Power Generation Equipment,Generators & power solutions,High,Name-derived,5
JUMANAH FOOD STUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,2
JUMBO MANPOWER SERVICES LLC,HR & Recruitment,Manpower supply,High,Name-derived,3
JURASSIC TECHNOLOGIES L.L.C [KO GYM],Health & Fitness,Gym / fitness centre,High,Name-derived,1
JUST GOURMET FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
JVK SHIPPING SERVICES LLC,Logistics & Supply Chain,Relocation & shipping,High,Name-derived,2
K B R INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
K J I MARINA BOATS MANUFACTURING L.L.C,Manufacturing - Marine,Boat building,High,Name-derived,3
KADRIS INDUSTRIES FZE,Manufacturing,Industrial manufacturing,Low,Name-derived,1
KALANDOOR BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,3
KALOTI JEWELLERY INTERNATIONAL DMCC,Jewellery & Precious Metals,Precious metals & jewellery,High,Name-derived,4
KAMI FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
KANHAIYA NISHAD VEGETABLES & FRUITS TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
KANMO TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,3
KANZ CHEMICAL IND. LLC,Manufacturing - Chemicals,Chemical products,High,Name-derived,2
KANZ JEWELS LLC,Jewellery & Precious Metals,Jewellery retail,High,Name-derived,3
KARAM INDUSTRIA LIMITIDA,Manufacturing,Industrial manufacturing (Africa),Low,Name-derived,1
KARAM INDUSTRIES NAMIBIA (PTY) LTD.,Manufacturing,Industrial manufacturing (Africa),Low,Name-derived,1
KATARA PROJECT MANAGEMENT SERVICE LLC,Project & Cost Consultancy,Project management,High,Name-derived,1
KAYA MIDDLE EAST DMCC,Healthcare,Skin & cosmetic clinics,High,Name-derived,2
KAYA TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
KAYAN SEWING LLC,Manufacturing - Textiles,Garment / sewing production,High,Name-derived,2
KAYBARZ FREIGHT SERVICES L.L.C,Logistics & Supply Chain,Freight forwarding,High,Name-derived,2
KHADAMAT FACILITIES MANAGEMENT LLC,Facilities Management,Integrated FM services,High,Name-derived,4
KHALEEJ LINKS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
KHALID VEGETABLES & FRUITS AND FOOD STUFF TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,2
KHALIS PERFUMES TRADING LLC,Cosmetics & Personal Care,Perfume trading,High,Name-derived,4
KHAMAS COLD STORES,Food & Beverage Trading,Cold storage & foodstuff distribution,High,Name-derived,2
KHAMAS GENERAL TRADING AND STORES,Trading & Distribution,General trading,Medium,Name-derived,1
KHORSHED INTERNATIONAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived,7
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified,6
KMA GLOBAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
KNM ENGINEERING,Engineering Services,Engineering services,Medium,Name-derived,1
KNOT HOME DECORATION MATERIALS TRADING LLC,Furniture & Interiors,Home decor materials,High,Name-derived,2
KONE MIDDLE EAST LLC,Elevators & Escalators,"Manufacture, installation & maintenance",High,Name-derived,5
KOSMONTE FOOD STUFF QATAR,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived,7
KOSMONTE FOODS STUFF- QATAR,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived,1
KS FOOD TRADING,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived,1
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived,8
KUKOO ELECTRONICS TRADING LLC,Consumer Electronics,Electronics trading,High,Name-derived,1
LA SOROGEEKA INTERIORS L.L.C,Fit-Out & Joinery,Luxury interiors & joinery,High,Name-derived,4
LAGARDERE TRAVEL RETAIL UAE LLC,Retail,Travel & airport retail,High,Name-derived,3
LANDMARK AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
LATICRETE MIDDLE EAST LLC,Manufacturing - Building Products,"Tile adhesives, grouts & mortars",High,Name-derived,1
LAWNSCAPE LLC,Landscaping,Landscape services,High,Name-derived,1
LAYAN AUTO PARTS W.L.L.,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,2
LEISUNG TECHNOLOGIES LLC,Technology,Technology products & solutions,Low,Name-derived,1
LIFE HOME HEALTHCARE LLC,Healthcare,Home healthcare services,High,Name-derived,2
LIFE TIME TRENDZ GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
LINK LIGHT ELECTRICAL WORKS LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,4
LINK LIGHT SWITCHGEAR INDUSTRIES LLC,Manufacturing - Electrical,LV switchgear panels,High,Name-derived,1
LINK MIDDLE EAST FZE,Manufacturing - Metals,"Galvanized wire, perimeter fencing, gabions & guard rails",High,Web-verified,4
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived,6
LOPAZ PERFUMES INDUSTRY LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived,1
LOTO SAFETY REQUISITES TRADING LLC,Fire & Safety,Safety equipment supply,High,Name-derived,3
LOYAL ELECTRICAL CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
LUAY ALHILO GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
LUCENT GROUP OF COMPANIES,Diversified Group,Diversified group,Low,Name-derived,4
LUNATUS DRUG STORE,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived,2
LUTFI OPTICAL CENTER LLC,Retail,Optical / eyewear retail,High,Name-derived,2
LUTFI TRADING LLC,Trading & Distribution,Eyewear & optical products trading,Medium,Name-derived,3
LUXURIA MIDDLE EAST DMCC,Luxury Retail,Luxury goods trading,High,Name-derived,5
MAB & SONS GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
MAB GROUP,Diversified Group,Diversified group,Medium,Name-derived,4
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived,6
MAGNUM SECURITY SERVICES,Security Services,Manned guarding,High,Name-derived,1
MAHALAKSHMI INDUSTRIAL GEARS PRIVATE LIMITED,Manufacturing - Machinery,Industrial gears,High,Name-derived,1
MAHASEEL INVESTMENT IN COMMERCIAL ENTERPRISES & MANAGEMENT L.L.C,Investment & Holding,Investment & management company,Medium,Name-derived,1
MAHASEEL PRODUCE,Fresh Produce & Grocery,Fresh produce supply,High,Name-derived,3
MAHER AL KHATEEB FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,2
MAHMOOD AHMED ENTERPRISES LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
MAHMOOD MALLIK INTERNATIONAL GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
MAICO GULF L. L. C.,Manufacturing - HVAC,Ventilation equipment (Maico),High,Name-derived,4
MAICO VENTILATION PVT. LTD.,Manufacturing - HVAC,Ventilation equipment,High,Name-derived,1
MAIMOON PAPERS INDUSTRY LLC,Manufacturing - Paper & Packaging,Paper products,High,Name-derived,4
MALABAR GOLD L.L.C.,Jewellery & Precious Metals,Gold & jewellery retail,High,Name-derived,5
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived,7
MALTA AUTO SPARE PARTS & ACCESSORIES TR .EST.,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
MAMMY TRADERS LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
MANEESH INTERNATIONAL FZCO,Trading & Distribution,General trading,Low,Name-derived,2
MANSOUR BAYEGAN FURNITURES LLC,Furniture & Interiors,Furniture trading,High,Name-derived,1
MAPLETEC JOINERY LLC,Fit-Out & Joinery,Joinery & millwork,High,Name-derived,4
MARHABA MTA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
MARVELOUS DESIGN FURNITURE,Manufacturing - Furniture,Custom furniture,High,Name-derived,3
MARVELOUS DESIGN FURNITURE L.L.C - S.P.C,Manufacturing - Furniture,Custom furniture,High,Name-derived,1
MASAFI CO. L.L.C.,Manufacturing - Food & Beverage,Bottled water & beverages,High,Name-derived,10
MASAR MEDICAL CO,Medical Supplies,Medical equipment & supplies,High,Name-derived,1
MASEERA TRADING LLC,Trading & Distribution,General trading,Low,Name-derived,2
MASHARIF FOOD INDUSTRIES ONE PERSON COMPANY LLC,Manufacturing - Food,Food production,High,Name-derived,1
MASTER GADGET FZCO,Consumer Electronics,Consumer gadgets trading,High,Name-derived,1
MASTERGLOBAL LOGISTICS LLC,Logistics & Supply Chain,Freight forwarding,High,Name-derived,2
MAX TECHNICAL ELECTRICAL TRADING LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,3
MAXCO ELECTROMECHANICAL LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,1
MAXPOWER ELECTROMECHANICAL CONTRACTING LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,1
MBM GULF ELECTROMECHANICAL LLC,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,11
MCDONALD’S MIDDLE EAST DEVELOPMENT COMPANY (DUBAI BRANCH),Food Service,QSR franchise development,High,Name-derived,5
MECHWAY GLOBAL LLC,Industrial Distribution,Mechanical components for building services & infrastructure,Medium,Web-verified,1
MEDAIT STAR REAL ESTATE LLC,Real Estate,Real estate services,High,Name-derived,3
MEDIA BUILDING MATERIAL TRADING LLC- RAK,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
MEDIA GENERAL TRADING LLC,Marketing Services,Advertising & marketing,Medium,Name-derived,1
MEDNET LLC,Insurance Services,Third-party health insurance administration,High,Name-derived,1
MEETHAQ EMPLOYMENT AGENCY,HR & Recruitment,Employment agency,High,Name-derived,5
MEETHAQ MANPOWER LLC,HR & Recruitment,Manpower supply,High,Name-derived,1
MEF TECHNICAL SERVICES L.L.C,Technical Services,Technical & maintenance services,Medium,Name-derived,1
MEGA MIC GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
