Column1.PARTYMST_DESC,Industry,Sub-Industry / Activity,Confidence,Source
INTERNATIONAL KNOWLEDGE CENTER,Education,Training centre,Medium,Name-derived
INTERNATIONAL RADIOLOGY & DIAGNOSTIC SERVICES CENTRE LLC - Rak Branch,Healthcare,Diagnostic imaging centre,High,Name-derived
INTERNATIONAL RADIOLOGY & DIAGNOSTIC SERVICES CENTRE LLC - Rak Branch,Healthcare,Diagnostic imaging centre,High,Name-derived
INTERNATIONAL RADIOLOGY & DIAGNOSTIC SERVICES CENTRE LLC - Rak Branch,Healthcare,Diagnostic imaging centre,High,Name-derived
INTERNATIONAL SHIP REPAIRS FZE,Marine Services,Ship repair,High,Name-derived
INTERNATIONAL SHIP REPAIRS FZE,Marine Services,Ship repair,High,Name-derived
INVENT SUSTAINABLE CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
INVENTION STEEL INDUSTRIES LLC,Manufacturing - Steel Fabrication,Steel fabrication,High,Name-derived
INVENTION STEEL INDUSTRIES LLC,Manufacturing - Steel Fabrication,Steel fabrication,High,Name-derived
IRVINE CHARTER L.L.C,Passenger Transport,Charter transport services,Medium,Name-derived
IRVINE CHARTER L.L.C,Passenger Transport,Charter transport services,Medium,Name-derived
IRVINE CHARTER L.L.C,Passenger Transport,Charter transport services,Medium,Name-derived
IRVINE CHARTER L.L.C,Passenger Transport,Charter transport services,Medium,Name-derived
ISOFOAM ENGINEERING L. L. C,Construction Services,Insulation systems,High,Name-derived
ITALFOOD FZ LLC,Food & Beverage Trading,Italian food distribution,High,Name-derived
ITALFOOD FZ LLC,Food & Beverage Trading,Italian food distribution,High,Name-derived
ITALIAN FOOTWEAR SOLUTION LLC,Textiles & Apparel Trading,Footwear supply,High,Name-derived
ITALIAN FOOTWEAR SOLUTION LLC,Textiles & Apparel Trading,Footwear supply,High,Name-derived
ITALIAN FOOTWEAR SOLUTION LLC,Textiles & Apparel Trading,Footwear supply,High,Name-derived
ITALIAN FOOTWEAR SOLUTION LLC,Textiles & Apparel Trading,Footwear supply,High,Name-derived
ITR MIDDLE EAST FZCO.,Industrial Equipment,Undercarriage parts for earthmoving,High,Name-derived
IWATCH SECURITY SYSTEMS LLC,Security Systems,CCTV & security systems,High,Name-derived
J J EXPORTERS - JUSTINE PAIGE (BVI) LTD.,Trading & Distribution,Export trading,Low,Name-derived
JABER MEASAM FOODSTUFF LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
JACKSON TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JACKSON TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JACKSON TRADING COMPANY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JACOBS ZAMEL AND TURBAG CONSULTING ENGINEERS,Engineering Consultancy,Design & supervision consultancy,High,Name-derived
JADE BLUE GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JAM NOOR GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JAM NOOR GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JAM NOOR GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JARRAH FOODSTUFF TRADING,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
JASEM KHAMAS TRADING CO. L. L. C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JATCO FREIGHT SERVICES LLC,Logistics & Supply Chain,Freight forwarding,High,Name-derived
JATCO FREIGHT SERVICES LLC,Logistics & Supply Chain,Freight forwarding,High,Name-derived
JAWAR AL KHALEEJ SHIPPING LLC,Shipping,Shipping services,High,Name-derived
JAWAR AL KHALEEJ SHIPPING LLC,Shipping,Shipping services,High,Name-derived
JAYSONS MULTI TRADE AND INDUSTRIES SUARL,Trading & Distribution,Trading & light manufacturing,Low,Name-derived
JEBAL AL ATLAS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JET AVIATION AIRSERVICES LIMITED,Aviation,Business aviation services & FBO,High,Name-derived
JIADI INTERNATIONAL READYMADE GARMENTS,Textiles & Apparel Trading,Readymade garments trading,High,Name-derived
JIADI INTERNATIONAL READYMADE GARMENTS,Textiles & Apparel Trading,Readymade garments trading,High,Name-derived
JIMMY LE BOND TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JMM MEAT PROCESSING LLC,Manufacturing - Food,Meat processing,High,Name-derived
JMM MEAT PROCESSING LLC,Manufacturing - Food,Meat processing,High,Name-derived
JMM MEAT PROCESSING LLC,Manufacturing - Food,Meat processing,High,Name-derived
JMM MEAT PROCESSING LLC,Manufacturing - Food,Meat processing,High,Name-derived
JNBJ GENERAL TRADING CO L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
JOHN DIESEL,Automotive Parts Trading,Diesel engine parts & service,High,Name-derived
JPM ASSOCIATES TECHNICAL SERVICES LLC,Technical Services,Technical & maintenance services,Medium,Name-derived
JPM ASSOCIATES TECHNICAL SERVICES LLC,Technical Services,Technical & maintenance services,Medium,Name-derived
JUBAILI BROS LLC,Power Generation Equipment,Generators & power solutions,High,Name-derived
JUBAILI BROS LLC,Power Generation Equipment,Generators & power solutions,High,Name-derived
JUBAILI BROS LLC,Power Generation Equipment,Generators & power solutions,High,Name-derived
JUBAILI BROS LLC,Power Generation Equipment,Generators & power solutions,High,Name-derived
JUBAILI BROS LLC,Power Generation Equipment,Generators & power solutions,High,Name-derived
JUMANAH FOOD STUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
JUMANAH FOOD STUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
JUMBO MANPOWER SERVICES LLC,HR & Recruitment,Manpower supply,High,Name-derived
JUMBO MANPOWER SERVICES LLC,HR & Recruitment,Manpower supply,High,Name-derived
JUMBO MANPOWER SERVICES LLC,HR & Recruitment,Manpower supply,High,Name-derived
JURASSIC TECHNOLOGIES L.L.C [KO GYM],Health & Fitness,Gym / fitness centre,High,Name-derived
JUST GOURMET FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
JVK SHIPPING SERVICES LLC,Logistics & Supply Chain,Relocation & shipping,High,Name-derived
JVK SHIPPING SERVICES LLC,Logistics & Supply Chain,Relocation & shipping,High,Name-derived
K B R INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
K J I MARINA BOATS MANUFACTURING L.L.C,Manufacturing - Marine,Boat building,High,Name-derived
K J I MARINA BOATS MANUFACTURING L.L.C,Manufacturing - Marine,Boat building,High,Name-derived
K J I MARINA BOATS MANUFACTURING L.L.C,Manufacturing - Marine,Boat building,High,Name-derived
KADRIS INDUSTRIES FZE,Manufacturing,Industrial manufacturing,Low,Name-derived
KALANDOOR BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
KALANDOOR BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
KALANDOOR BUILDING CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
KALOTI JEWELLERY INTERNATIONAL DMCC,Jewellery & Precious Metals,Precious metals & jewellery,High,Name-derived
KALOTI JEWELLERY INTERNATIONAL DMCC,Jewellery & Precious Metals,Precious metals & jewellery,High,Name-derived
KALOTI JEWELLERY INTERNATIONAL DMCC,Jewellery & Precious Metals,Precious metals & jewellery,High,Name-derived
KALOTI JEWELLERY INTERNATIONAL DMCC,Jewellery & Precious Metals,Precious metals & jewellery,High,Name-derived
KAMI FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
KANHAIYA NISHAD VEGETABLES & FRUITS TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
KANHAIYA NISHAD VEGETABLES & FRUITS TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
KANMO TRADING LLC,Trading & Distribution,General trading,Low,Name-derived
KANMO TRADING LLC,Trading & Distribution,General trading,Low,Name-derived
KANMO TRADING LLC,Trading & Distribution,General trading,Low,Name-derived
KANZ CHEMICAL IND. LLC,Manufacturing - Chemicals,Chemical products,High,Name-derived
KANZ CHEMICAL IND. LLC,Manufacturing - Chemicals,Chemical products,High,Name-derived
KANZ JEWELS LLC,Jewellery & Precious Metals,Jewellery retail,High,Name-derived
KANZ JEWELS LLC,Jewellery & Precious Metals,Jewellery retail,High,Name-derived
KANZ JEWELS LLC,Jewellery & Precious Metals,Jewellery retail,High,Name-derived
KARAM INDUSTRIA LIMITIDA,Manufacturing,Industrial manufacturing (Africa),Low,Name-derived
KARAM INDUSTRIES NAMIBIA (PTY) LTD.,Manufacturing,Industrial manufacturing (Africa),Low,Name-derived
KATARA PROJECT MANAGEMENT SERVICE LLC,Project & Cost Consultancy,Project management,High,Name-derived
KAYA MIDDLE EAST DMCC,Healthcare,Skin & cosmetic clinics,High,Name-derived
KAYA MIDDLE EAST DMCC,Healthcare,Skin & cosmetic clinics,High,Name-derived
KAYA TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KAYAN SEWING LLC,Manufacturing - Textiles,Garment / sewing production,High,Name-derived
KAYAN SEWING LLC,Manufacturing - Textiles,Garment / sewing production,High,Name-derived
KAYBARZ FREIGHT SERVICES L.L.C,Logistics & Supply Chain,Freight forwarding,High,Name-derived
KAYBARZ FREIGHT SERVICES L.L.C,Logistics & Supply Chain,Freight forwarding,High,Name-derived
KHADAMAT FACILITIES MANAGEMENT LLC,Facilities Management,Integrated FM services,High,Name-derived
KHADAMAT FACILITIES MANAGEMENT LLC,Facilities Management,Integrated FM services,High,Name-derived
KHADAMAT FACILITIES MANAGEMENT LLC,Facilities Management,Integrated FM services,High,Name-derived
KHADAMAT FACILITIES MANAGEMENT LLC,Facilities Management,Integrated FM services,High,Name-derived
KHALEEJ LINKS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KHALEEJ LINKS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KHALEEJ LINKS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KHALEEJ LINKS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KHALEEJ LINKS GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KHALID VEGETABLES & FRUITS AND FOOD STUFF TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
KHALID VEGETABLES & FRUITS AND FOOD STUFF TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
KHALIS PERFUMES TRADING LLC,Cosmetics & Personal Care,Perfume trading,High,Name-derived
KHALIS PERFUMES TRADING LLC,Cosmetics & Personal Care,Perfume trading,High,Name-derived
KHALIS PERFUMES TRADING LLC,Cosmetics & Personal Care,Perfume trading,High,Name-derived
KHALIS PERFUMES TRADING LLC,Cosmetics & Personal Care,Perfume trading,High,Name-derived
KHAMAS COLD STORES,Food & Beverage Trading,Cold storage & foodstuff distribution,High,Name-derived
KHAMAS COLD STORES,Food & Beverage Trading,Cold storage & foodstuff distribution,High,Name-derived
KHAMAS GENERAL TRADING AND STORES,Trading & Distribution,General trading,Medium,Name-derived
KHORSHED INTERNATIONAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KHORSHED INTERNATIONAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KIBSONS INTERNATIONAL L. L. C.,Fresh Produce & Grocery,Online grocery / fresh produce distribution,High,Name-derived
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified
KLEEV MIDDLE EAST FZE,Manufacturing - Instrumentation,"Instrumentation valves, manifolds, gauges & thermocouples",High,Web-verified
KMA GLOBAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
KNM ENGINEERING,Engineering Services,Engineering services,Medium,Name-derived
KNOT HOME DECORATION MATERIALS TRADING LLC,Furniture & Interiors,Home decor materials,High,Name-derived
KNOT HOME DECORATION MATERIALS TRADING LLC,Furniture & Interiors,Home decor materials,High,Name-derived
KONE MIDDLE EAST LLC,Elevators & Escalators,"Manufacture, installation & maintenance",High,Name-derived
KONE MIDDLE EAST LLC,Elevators & Escalators,"Manufacture, installation & maintenance",High,Name-derived
KONE MIDDLE EAST LLC,Elevators & Escalators,"Manufacture, installation & maintenance",High,Name-derived
KONE MIDDLE EAST LLC,Elevators & Escalators,"Manufacture, installation & maintenance",High,Name-derived
KONE MIDDLE EAST LLC,Elevators & Escalators,"Manufacture, installation & maintenance",High,Name-derived
KOSMONTE FOOD STUFF QATAR,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS LLC,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KOSMONTE FOODS STUFF- QATAR,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KS FOOD TRADING,Food & Beverage Trading,Food & beverage distribution,Medium,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KTC INTERNATIONAL LLC,Trading & Distribution,International trading,Low,Name-derived
KUKOO ELECTRONICS TRADING LLC,Consumer Electronics,Electronics trading,High,Name-derived
LA SOROGEEKA INTERIORS L.L.C,Fit-Out & Joinery,Luxury interiors & joinery,High,Name-derived
LA SOROGEEKA INTERIORS L.L.C,Fit-Out & Joinery,Luxury interiors & joinery,High,Name-derived
LA SOROGEEKA INTERIORS L.L.C,Fit-Out & Joinery,Luxury interiors & joinery,High,Name-derived
LA SOROGEEKA INTERIORS L.L.C,Fit-Out & Joinery,Luxury interiors & joinery,High,Name-derived
LAGARDERE TRAVEL RETAIL UAE LLC,Retail,Travel & airport retail,High,Name-derived
LAGARDERE TRAVEL RETAIL UAE LLC,Retail,Travel & airport retail,High,Name-derived
LAGARDERE TRAVEL RETAIL UAE LLC,Retail,Travel & airport retail,High,Name-derived
LANDMARK AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
LANDMARK AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
LANDMARK AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
LATICRETE MIDDLE EAST LLC,Manufacturing - Building Products,"Tile adhesives, grouts & mortars",High,Name-derived
LAWNSCAPE LLC,Landscaping,Landscape services,High,Name-derived
LAYAN AUTO PARTS W.L.L.,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
LAYAN AUTO PARTS W.L.L.,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
LEISUNG TECHNOLOGIES LLC,Technology,Technology products & solutions,Low,Name-derived
LIFE HOME HEALTHCARE LLC,Healthcare,Home healthcare services,High,Name-derived
LIFE HOME HEALTHCARE LLC,Healthcare,Home healthcare services,High,Name-derived
LIFE TIME TRENDZ GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
LIFE TIME TRENDZ GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
LIFE TIME TRENDZ GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
LIFE TIME TRENDZ GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
LIFE TIME TRENDZ GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
LINK LIGHT ELECTRICAL WORKS LLC,Electrical Trading,Electrical products & services,Medium,Name-derived
LINK LIGHT ELECTRICAL WORKS LLC,Electrical Trading,Electrical products & services,Medium,Name-derived
LINK LIGHT ELECTRICAL WORKS LLC,Electrical Trading,Electrical products & services,Medium,Name-derived
LINK LIGHT ELECTRICAL WORKS LLC,Electrical Trading,Electrical products & services,Medium,Name-derived
LINK LIGHT SWITCHGEAR INDUSTRIES LLC,Manufacturing - Electrical,LV switchgear panels,High,Name-derived
LINK MIDDLE EAST FZE,Manufacturing - Metals,"Galvanized wire, perimeter fencing, gabions & guard rails",High,Web-verified
LINK MIDDLE EAST FZE,Manufacturing - Metals,"Galvanized wire, perimeter fencing, gabions & guard rails",High,Web-verified
LINK MIDDLE EAST FZE,Manufacturing - Metals,"Galvanized wire, perimeter fencing, gabions & guard rails",High,Web-verified
LINK MIDDLE EAST FZE,Manufacturing - Metals,"Galvanized wire, perimeter fencing, gabions & guard rails",High,Web-verified
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived
LOOTAH BOUTIQUE LLC,Retail,Retail operations,Medium,Name-derived
LOPAZ PERFUMES INDUSTRY LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived
LOTO SAFETY REQUISITES TRADING LLC,Fire & Safety,Safety equipment supply,High,Name-derived
LOTO SAFETY REQUISITES TRADING LLC,Fire & Safety,Safety equipment supply,High,Name-derived
LOTO SAFETY REQUISITES TRADING LLC,Fire & Safety,Safety equipment supply,High,Name-derived
LOYAL ELECTRICAL CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
LUAY ALHILO GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
LUCENT GROUP OF COMPANIES,Diversified Group,Diversified group,Low,Name-derived
LUCENT GROUP OF COMPANIES,Diversified Group,Diversified group,Low,Name-derived
LUCENT GROUP OF COMPANIES,Diversified Group,Diversified group,Low,Name-derived
LUCENT GROUP OF COMPANIES,Diversified Group,Diversified group,Low,Name-derived
LUNATUS DRUG STORE,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
LUNATUS DRUG STORE,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
LUTFI OPTICAL CENTER LLC,Retail,Optical / eyewear retail,High,Name-derived
LUTFI OPTICAL CENTER LLC,Retail,Optical / eyewear retail,High,Name-derived
LUTFI TRADING LLC,Trading & Distribution,Eyewear & optical products trading,Medium,Name-derived
LUTFI TRADING LLC,Trading & Distribution,Eyewear & optical products trading,Medium,Name-derived
LUTFI TRADING LLC,Trading & Distribution,Eyewear & optical products trading,Medium,Name-derived
LUXURIA MIDDLE EAST DMCC,Luxury Retail,Luxury goods trading,High,Name-derived
LUXURIA MIDDLE EAST DMCC,Luxury Retail,Luxury goods trading,High,Name-derived
LUXURIA MIDDLE EAST DMCC,Luxury Retail,Luxury goods trading,High,Name-derived
LUXURIA MIDDLE EAST DMCC,Luxury Retail,Luxury goods trading,High,Name-derived
LUXURIA MIDDLE EAST DMCC,Luxury Retail,Luxury goods trading,High,Name-derived
MAB & SONS GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAB & SONS GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAB & SONS GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAB & SONS GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAB GROUP,Diversified Group,Diversified group,Medium,Name-derived
MAB GROUP,Diversified Group,Diversified group,Medium,Name-derived
MAB GROUP,Diversified Group,Diversified group,Medium,Name-derived
MAB GROUP,Diversified Group,Diversified group,Medium,Name-derived
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived
MACE INTERNATIONAL LIMITED,Project & Cost Consultancy,Project / programme management,High,Name-derived
MAGNUM SECURITY SERVICES,Security Services,Manned guarding,High,Name-derived
MAHALAKSHMI INDUSTRIAL GEARS PRIVATE LIMITED,Manufacturing - Machinery,Industrial gears,High,Name-derived
MAHASEEL INVESTMENT IN COMMERCIAL ENTERPRISES & MANAGEMENT L.L.C,Investment & Holding,Investment & management company,Medium,Name-derived
MAHASEEL PRODUCE,Fresh Produce & Grocery,Fresh produce supply,High,Name-derived
MAHASEEL PRODUCE,Fresh Produce & Grocery,Fresh produce supply,High,Name-derived
MAHASEEL PRODUCE,Fresh Produce & Grocery,Fresh produce supply,High,Name-derived
MAHER AL KHATEEB FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
MAHER AL KHATEEB FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
MAHMOOD AHMED ENTERPRISES LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAHMOOD MALLIK INTERNATIONAL GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAHMOOD MALLIK INTERNATIONAL GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAHMOOD MALLIK INTERNATIONAL GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAHMOOD MALLIK INTERNATIONAL GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAICO GULF L. L. C.,Manufacturing - HVAC,Ventilation equipment (Maico),High,Name-derived
MAICO GULF L. L. C.,Manufacturing - HVAC,Ventilation equipment (Maico),High,Name-derived
MAICO GULF L. L. C.,Manufacturing - HVAC,Ventilation equipment (Maico),High,Name-derived
MAICO GULF L. L. C.,Manufacturing - HVAC,Ventilation equipment (Maico),High,Name-derived
MAICO VENTILATION PVT. LTD.,Manufacturing - HVAC,Ventilation equipment,High,Name-derived
MAIMOON PAPERS INDUSTRY LLC,Manufacturing - Paper & Packaging,Paper products,High,Name-derived
MAIMOON PAPERS INDUSTRY LLC,Manufacturing - Paper & Packaging,Paper products,High,Name-derived
MAIMOON PAPERS INDUSTRY LLC,Manufacturing - Paper & Packaging,Paper products,High,Name-derived
MAIMOON PAPERS INDUSTRY LLC,Manufacturing - Paper & Packaging,Paper products,High,Name-derived
MALABAR GOLD L.L.C.,Jewellery & Precious Metals,Gold & jewellery retail,High,Name-derived
MALABAR GOLD L.L.C.,Jewellery & Precious Metals,Gold & jewellery retail,High,Name-derived
MALABAR GOLD L.L.C.,Jewellery & Precious Metals,Gold & jewellery retail,High,Name-derived
MALABAR GOLD L.L.C.,Jewellery & Precious Metals,Gold & jewellery retail,High,Name-derived
MALABAR GOLD L.L.C.,Jewellery & Precious Metals,Gold & jewellery retail,High,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALAIH INVESTMENT & PROJECTS DEVELOPMENT L.L.C.,Real Estate,Investment & project development,Medium,Name-derived
MALTA AUTO SPARE PARTS & ACCESSORIES TR .EST.,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived
MAMMY TRADERS LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MAMMY TRADERS LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MANEESH INTERNATIONAL FZCO,Trading & Distribution,General trading,Low,Name-derived
MANEESH INTERNATIONAL FZCO,Trading & Distribution,General trading,Low,Name-derived
MANSOUR BAYEGAN FURNITURES LLC,Furniture & Interiors,Furniture trading,High,Name-derived
MAPLETEC JOINERY LLC,Fit-Out & Joinery,Joinery & millwork,High,Name-derived
MAPLETEC JOINERY LLC,Fit-Out & Joinery,Joinery & millwork,High,Name-derived
MAPLETEC JOINERY LLC,Fit-Out & Joinery,Joinery & millwork,High,Name-derived
MAPLETEC JOINERY LLC,Fit-Out & Joinery,Joinery & millwork,High,Name-derived
MARHABA MTA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MARHABA MTA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MARHABA MTA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MARHABA MTA GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
MARVELOUS DESIGN FURNITURE,Manufacturing - Furniture,Custom furniture,High,Name-derived
MARVELOUS DESIGN FURNITURE,Manufacturing - Furniture,Custom furniture,High,Name-derived
MARVELOUS DESIGN FURNITURE,Manufacturing - Furniture,Custom furniture,High,Name-derived
